Username,Site,Customer,Updated By,ImageAttached,Route,Operator,Timedate,Annotation,Comment,Overall Result,Beta-lactams Result,Beta-lactams Level,Ceftiofur Result,Ceftiofur Level,Tetracyclines Result,Tetracyclines Level,Sulfonamides Result,Sulfonamides Level,Raw QR,Test Type,Batch Number
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"615","SV",12-03-2026 00:07,,,Negative,Negative,2.17,Negative,3.13,Negative,4.16,Negative,3.08,05250428E002002837,MilkSafe™ FAST CM1-3BTS ,250428E002
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"575","JL",12-03-2026 02:02,,,Negative,Negative,1.73,Negative,2.63,Negative,3.38,Negative,2.63,05250725E007009598,MilkSafe™ FAST CM1-3BTS ,250725E007
Aanekoski1,Äänekoski,Valio,Aanekoski1,False,"171","SA",12-03-2026 01:10,,,Negative,Negative,2.09,Negative,3.38,Negative,3.79,Negative,3.08,05250428E002005139,MilkSafe™ FAST CM1-3BTS ,250428E002
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"382","AV",12-03-2026 02:10,,,Negative,Negative,2.06,Negative,2.86,Negative,3.39,Negative,2.7,05250725E007010951,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"61","PS",12-03-2026 02:15,,,Negative,Negative,1.9,Negative,2.88,Negative,3.77,Negative,2.81,05250725E007009620,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"401","LH",12-03-2026 02:26,,,Negative,Negative,2.13,Negative,3.19,Negative,4.04,Negative,3.01,05250725E007009588,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"418","MV",12-03-2026 02:36,,,Negative,Negative,1.9,Negative,2.68,Negative,3.78,Negative,2.55,05251106E008002037,MilkSafe™ FAST CM1-3BTS ,251106E008
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"51","JA",12-03-2026 01:13,,,Negative,Negative,1.79,Negative,3.09,Negative,3.49,Negative,2.89,05251106E008013878,MilkSafe™ FAST CM1-3BTS ,251106E008
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"493","TN",12-03-2026 02:51,,,Negative,Negative,1.83,Negative,2.89,Negative,4.04,Negative,2.93,05250725E007012786,MilkSafe™ FAST CM1-3BTS ,250725E007
Oulu2,Oulu,Valio,Oulu2,False,"28","PO",12-03-2026 02:00,,,Negative,Negative,1.75,Negative,2.76,Negative,3.74,Negative,2.77,05250725E007019531,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"296","TK",12-03-2026 01:21,,,Negative,Negative,3.02,Negative,3.45,Negative,4.44,Negative,3.32,05250725E007009840,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"112","IH",12-03-2026 01:32,,,Negative,Negative,2.06,Negative,3.49,Negative,4.24,Negative,3.2,,MilkSafe™ FAST CM1-3BTS ,
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"181","JL",12-03-2026 03:03,,,Negative,Negative,2.26,Negative,3.27,Negative,4.08,Negative,3.16,05250725E007012680,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"294","ME",12-03-2026 01:38,,,Negative,Negative,2.5,Negative,3.53,Negative,4.79,Negative,3.39,05250725E007012626,MilkSafe™ FAST CM1-3BTS ,250725E007
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"628","TN",12-03-2026 01:41,,,Negative,Negative,2.97,Negative,3.85,Negative,5,Negative,3.6,05250428E002005448,MilkSafe™ FAST CM1-3BTS ,250428E002
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"435","AA",12-03-2026 03:12,,,Negative,Negative,1.93,Negative,2.91,Negative,3.76,Negative,2.8,05250725E007002890,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"41","05251106E008013895",12-03-2026 01:44,,,Negative,Negative,1.99,Negative,3.33,Negative,4.05,Negative,3.16,05251106E008013895,MilkSafe™ FAST CM1-3BTS ,251106E008
Sjk6,Seinäjoki,Valio,Sjk6,False,"151","JT",12-03-2026 01:55,,,Negative,Negative,2.46,Negative,3.38,Negative,4.38,Negative,3.26,05250725E007001395,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"458","MV",12-03-2026 03:27,,,Negative,Negative,2.28,Negative,3,Negative,4.15,Negative,3,05250725E007001702,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"160","SS",12-03-2026 03:35,,,Negative,Negative,2.12,Negative,2.87,Negative,3.82,Negative,2.83,05250725E007009617,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"75","PW",12-03-2026 02:05,,,Negative,Negative,2.18,Negative,3.22,Negative,3.99,Negative,3.01,05251106E008013565,MilkSafe™ FAST CM1-3BTS ,251106E008
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"641","RTN",12-03-2026 03:36,,,Negative,Negative,1.94,Negative,2.99,Negative,3.45,Negative,2.78,05250725E007020927,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"226","PT",12-03-2026 02:09,,,Negative,Negative,2.33,Negative,3.1,Negative,4.2,Negative,3.03,05250725E007023686,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"305","TM",12-03-2026 02:38,,,Negative,Negative,2.44,Negative,3.55,Negative,4.6,Negative,3.33,05250725E007013501,MilkSafe™ FAST CM1-3BTS ,250725E007
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"803","JN",12-03-2026 03:25,,,Negative,Negative,2.71,Negative,3.64,Negative,4.32,Negative,3.33,05250428E002002115,MilkSafe™ FAST CM1-3BTS ,250428E002
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"506","VR",12-03-2026 04:56,,,Negative,Negative,2.11,Negative,3.15,Negative,3.82,Negative,3.04,05250725E007003613,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"745","NR",12-03-2026 05:01,,,Negative,Negative,2.68,Negative,3.32,Negative,4.19,Negative,3.32,05250725E007016530,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"961","PR",12-03-2026 05:03,,,Negative,Negative,2.23,Negative,3.27,Negative,3.82,Negative,3.09,05250725E007009613,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"131","WL",12-03-2026 03:35,,,Negative,Negative,1.86,Negative,2.81,Negative,3.57,Negative,2.63,05251106E008011350,MilkSafe™ FAST CM1-3BTS ,251106E008
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"616","SV",12-03-2026 03:46,,,Negative,Negative,2,Negative,2.89,Negative,3.8,Negative,2.91,05250428E002002585,MilkSafe™ FAST CM1-3BTS ,250428E002
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"58","SK",12-03-2026 05:21,,,Negative,Negative,1.72,Negative,2.84,Negative,3.87,Negative,2.93,05250725E007009670,MilkSafe™ FAST CM1-3BTS ,250725E007
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"344","PH",12-03-2026 05:36,,,Negative,Negative,2.93,Negative,3.4,Negative,4.29,Negative,3.19,05250725E007022468,MilkSafe™ FAST CM1-3BTS ,250725E007
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"46","JK",12-03-2026 05:52,,,Negative,Negative,1.99,Negative,3,Negative,4.12,Negative,3,05250725E007009975,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"303","TM",12-03-2026 04:54,,,Negative,Negative,2.2,Negative,2.93,Negative,3.53,Negative,2.84,05250725E007001865,MilkSafe™ FAST CM1-3BTS ,250725E007
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"667","SP",12-03-2026 04:54,,,Negative,Negative,2.33,Negative,3.44,Negative,3.94,Negative,3.11,05250428E002002233,MilkSafe™ FAST CM1-3BTS ,250428E002
LabraJKL01,Jyväskylä,Valio,LabraJKL01,False,"383","PH",12-03-2026 06:48,,,Negative,Negative,2.18,Negative,3.34,Negative,4.12,Negative,3.25,05250725E007018487,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk2,Seinäjoki,Valio,Sjk2,False,"317","JK",12-03-2026 05:40,,,Negative,Negative,2.86,Negative,3.3,Negative,4.56,Negative,3.29,05250725E007018730,MilkSafe™ FAST CM1-3BTS ,250725E007
Sjk6,Seinäjoki,Valio,Sjk6,False,"204","NNN",12-03-2026 05:45,,,Negative,Negative,2.32,Negative,3.32,Negative,4.51,Negative,3.08,05250725E007019174,MilkSafe™ FAST CM1-3BTS ,250725E007
Riihimaki2,Riihimäki,Valio,Riihimaki2,False,"779","JS",12-03-2026 06:04,,,Negative,Negative,2.36,Negative,3.04,Negative,3.91,Negative,2.9,05250428E002002915,MilkSafe™ FAST CM1-3BTS ,250428E002
Lapinlahti2,Lapinlahti,Valio,Lapinlahti2,False,"416","LT",12-03-2026 08:27,,,Negative,Negative,1.93,Negative,2.9,Negative,3.65,Negative,2.69,05250725E007003912,MilkSafe™ FAST CM1-3BTS ,250725E007
Haapavesi3,Haapavesi,Valio,Haapavesi3,False,"12","MP",12-03-2026 07:13,,,Negative,Negative,2.36,Negative,3.29,Negative,4.02,Negative,3.1,05251106E008013902,MilkSafe™ FAST CM1-3BTS ,251106E008
Sjk2,Seinäjoki,Valio,Sjk2,False,"214","PA",12-03-2026 07:59,,,Negative,Negative,2.78,Negative,3.22,Negative,4.42,Negative,3.11,05250725E007001168,MilkSafe™ FAST CM1-3BTS ,250725E007
